field_1;yLat;xLon;total;MRGID;GEONAME;MRGID_TER1;POL_TYPE;MRGID_SOV1;TERRITORY1;ISO_TER1;SOVEREIGN1;MRGID_TER2;MRGID_SOV2;TERRITORY2;ISO_TER2;SOVEREIGN2;MRGID_TER3;MRGID_SOV3;TERRITORY3;ISO_TER3;SOVEREIGN3;X_1;Y_1;MRGID_EEZ;AREA_KM2;ISO_SOV1;ISO_SOV2;ISO_SOV3;UN_SOV1;UN_SOV2;UN_SOV3;UN_TER1;UN_TER2;UN_TER3
11;-19,5;9,5;108210;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
19;-18,5;8,5;181160;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
30;-17,5;8,5;1751420;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
31;-17,5;9,5;172130;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
32;-17,5;10,5;1097330;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
40;-16,5;8,5;938540;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
41;-16,5;9,5;2054890;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
42;-16,5;10,5;2851400;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
43;-16,5;11,5;1121360;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
53;-15,5;8,5;595250;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
54;-15,5;9,5;1147220;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
55;-15,5;10,5;2503220;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
56;-15,5;11,5;2562080;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
64;-14,5;9,5;447320;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
65;-14,5;10,5;482560;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
66;-14,5;11,5;2255830;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
76;-13,5;9,5;189780;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
77;-13,5;10,5;269200;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
78;-13,5;11,5;1916150;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
79;-13,5;12,5;213980;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
89;-12,5;9,5;275260;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
90;-12,5;10,5;285420;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
91;-12,5;11,5;716480;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
92;-12,5;12,5;1990030;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
110;-11,5;10,5;315470;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
111;-11,5;11,5;242610;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
112;-11,5;12,5;2250160;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
113;-11,5;13,5;946190;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
133;-10,5;10,5;357290;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
134;-10,5;11,5;1040230;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
135;-10,5;12,5;3096430;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
136;-10,5;13,5;693180;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
156;-9,5;10,5;383430;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
157;-9,5;11,5;1057000;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
158;-9,5;12,5;2489480;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
182;-8,5;10,5;284450;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
183;-8,5;11,5;1226340;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
184;-8,5;12,5;1617280;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
212;-7,5;9,5;159350;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
213;-7,5;10,5;379510;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
214;-7,5;11,5;479090;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
215;-7,5;12,5;322520;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
225;-6,5;-11,5;37530;8379,0;Ascension Exclusive Economic Zone;8620,0;200NM;2208,0;Ascension;SHN;United Kingdom;0,0;0,0;;;;0,0;0,0;;;;-14,36337;-7,94747;8379,0;446005,0;GBR;;;826;;;654;;
246;-6,5;9,5;60020;8394,0;Congolese Exclusive Economic Zone;8633,0;200NM;8633,0;Republic of the Congo;COG;Republic of the Congo;0,0;0,0;;;;0,0;0,0;;;;10,59577;-5,33648;8394,0;33807,0;COG;;;178;;;178;;
247;-6,5;10,5;40750;8477,0;Democratic Republic of the Congo Exclusive Economic Zone;2198,0;200NM;2198,0;Democratic Republic of the Congo;COD;Democratic Republic of the Congo;0,0;0,0;;;;0,0;0,0;;;;10,73256;-6,40153;8477,0;13373,0;COD;;;180;;;180;;
260;-5,5;-16,5;20980;8379,0;Ascension Exclusive Economic Zone;8620,0;200NM;2208,0;Ascension;SHN;United Kingdom;0,0;0,0;;;;0,0;0,0;;;;-14,36337;-7,94747;8379,0;446005,0;GBR;;;826;;;654;;
261;-5,5;-12,5;16000;8379,0;Ascension Exclusive Economic Zone;8620,0;200NM;2208,0;Ascension;SHN;United Kingdom;0,0;0,0;;;;0,0;0,0;;;;-14,36337;-7,94747;8379,0;446005,0;GBR;;;826;;;654;;
282;-5,5;8,5;8540;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
283;-5,5;9,5;13920;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
284;-5,5;10,5;23630;8394,0;Congolese Exclusive Economic Zone;8633,0;200NM;8633,0;Republic of the Congo;COG;Republic of the Congo;0,0;0,0;;;;0,0;0,0;;;;10,59577;-5,33648;8394,0;33807,0;COG;;;178;;;178;;
318;-4,5;4,5;248840;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
319;-4,5;5,5;63400;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
320;-4,5;7,5;856310;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
321;-4,5;8,5;901690;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
322;-4,5;9,5;808120;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
323;-4,5;10,5;209600;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
356;-3,5;3,5;75520;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
357;-3,5;4,5;307070;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
358;-3,5;5,5;36740;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
359;-3,5;6,5;716240;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
360;-3,5;7,5;2664840;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
361;-3,5;8,5;3832830;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
362;-3,5;9,5;5275560;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
363;-3,5;10,5;146630;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
394;-2,5;2,5;367030;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
395;-2,5;4,5;27600;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
396;-2,5;5,5;4710;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
397;-2,5;6,5;323200;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
398;-2,5;7,5;1958100;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
399;-2,5;8,5;5844000;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
400;-2,5;9,5;658520;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
430;-1,5;3,5;607750;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
431;-1,5;4,5;26950;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
432;-1,5;5,5;19200;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
433;-1,5;6,5;251810;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
434;-1,5;7,5;3836930;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
435;-1,5;8,5;5294800;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
461;-0,5;2,5;726860;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
462;-0,5;3,5;550430;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
463;-0,5;4,5;41400;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
464;-0,5;5,5;365460;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
465;-0,5;6,5;804990;8397,0;Sao Tome and Principe Exclusive Economic Zone;2238,0;200NM;2238,0;Sao Tome and Principe;STP;Sao Tome and Principe;0,0;0,0;;;;0,0;0,0;;;;6,35335;0,7791;8397,0;130844,0;STP;;;678;;;678;;
466;-0,5;7,5;1886040;8397,0;Sao Tome and Principe Exclusive Economic Zone;2238,0;200NM;2238,0;Sao Tome and Principe;STP;Sao Tome and Principe;0,0;0,0;;;;0,0;0,0;;;;6,35335;0,7791;8397,0;130844,0;STP;;;678;;;678;;
467;-0,5;8,5;1123740;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
499;0,5;3,5;92380;8398,0;Equatorial Guinean Exclusive Economic Zone;2112,0;200NM;2112,0;Equatorial Guinea;GNQ;Equatorial Guinea;0,0;0,0;;;;0,0;0,0;;;;5,43745;-1,37183;8398,0;304133,0;GNQ;;;226;;;226;;
500;0,5;4,5;1452970;8397,0;Sao Tome and Principe Exclusive Economic Zone;2238,0;200NM;2238,0;Sao Tome and Principe;STP;Sao Tome and Principe;0,0;0,0;;;;0,0;0,0;;;;6,35335;0,7791;8397,0;130844,0;STP;;;678;;;678;;
501;0,5;5,5;2033100;8397,0;Sao Tome and Principe Exclusive Economic Zone;2238,0;200NM;2238,0;Sao Tome and Principe;STP;Sao Tome and Principe;0,0;0,0;;;;0,0;0,0;;;;6,35335;0,7791;8397,0;130844,0;STP;;;678;;;678;;
502;0,5;6,5;458100;8397,0;Sao Tome and Principe Exclusive Economic Zone;2238,0;200NM;2238,0;Sao Tome and Principe;STP;Sao Tome and Principe;0,0;0,0;;;;0,0;0,0;;;;6,35335;0,7791;8397,0;130844,0;STP;;;678;;;678;;
503;0,5;7,5;593400;8397,0;Sao Tome and Principe Exclusive Economic Zone;2238,0;200NM;2238,0;Sao Tome and Principe;STP;Sao Tome and Principe;0,0;0,0;;;;0,0;0,0;;;;6,35335;0,7791;8397,0;130844,0;STP;;;678;;;678;;
504;0,5;8,5;362410;8476,0;Gabonese Exclusive Economic Zone;2104,0;200NM;2104,0;Gabon;GAB;Gabon;0,0;0,0;;;;0,0;0,0;;;;8,73897;-3,06254;8476,0;201759,0;GAB;;;266;;;266;;
524;1,5;-9,5;743210;8391,0;Liberian Exclusive Economic Zone;2105,0;200NM;2105,0;Liberia;LBR;Liberia;0,0;0,0;;;;0,0;0,0;;;;-10,17763;3,8028;8391,0;251781,0;LBR;;;430;;;430;;
525;1,5;-8,5;129320;8391,0;Liberian Exclusive Economic Zone;2105,0;200NM;2105,0;Liberia;LBR;Liberia;0,0;0,0;;;;0,0;0,0;;;;-10,17763;3,8028;8391,0;251781,0;LBR;;;430;;;430;;
